Tipología cliente	Nombre cliente	cli_rao	Dirección Cliente	Ciudad/poblacion	ZIP	Tipología cliente ok
VARIOS	EVA GIL MONTES	EVA GIL MONTES	000  - EVA GIL MONTES - C/ RIO SEGURA, 10 LOCAL 5 - MOSTOLES	Móstoles	28934	PIZZERIA/RESTAURANTE
VARIOS	SOUZA Y DURAN, SOC.COOP.AND, COOP.	CONDENDÉ	000  - CONDENDÉ - MERCADO CALLE FERIA PUESTO, 93 - Sevilla	Sevilla	41013	TIENDA
VARIOS	BELEN MANRIQUE CIVERA	BELEN MANRIQUE CIVERA	000  - BELEN MANRIQUE CIVERA - AVENIDA RAMÓN CARANDE, 14 4 B - Sevilla	Sevilla	41013	PARTICULARES
DISTRIBUIDORS	COMERCIAL BAIDES XXI, S.L.L	COMERCIAL BAIDES XXI, S.L.L	000  - COMERCIAL BAIDES XXI, S.L.L - C/FORTUNY 34 - MATARO	Mataró	08301	DISTRIBUIDOR
VARIOS	JORGE ANTONIO GÓMEZ REBOLLO, S.L	PASTAFIORE CÁCERES	001  - PASTAFIORE CÁCERES - C/DIONISIO ACEDO, - CÁCERES	Cáceres	10004	PIZZERIA/RESTAURANTE
DISTRIBUIDORS	JOSE ANTONIO RUIZ AGUILAR	COMERCIAL GUSSTET	000  - COMERCIAL GUSSTET - URB/SERRA MAURINA, PARC N.46 - POLINYÀ	POLINYA	08213	DISTRIBUIDOR
DISTRIBUIDORS	ALIMASGRAU, S.L	ALIMASGRAU, S.L	001  - ALIMASGRAU, SL - C/TRAMUNTANA  5-7 P.I CAN PRUNA - RIUDARENES	RIUDARENES	17421	DISTRIBUIDOR
PIZZERIES/REST.	PREMACA  S.L.	PREMACA  S.L.	000  - PREMACA  S.L. - AVDA. TRAMUNTANA, 15 - EMPURIABRAVA	EMPURIABRAVA	17486	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	MENNA JAUMA VILARO	MENNA JAUMA -RESTAURANT SANREMO	000  - MENNA JAUMA -RESTAURANT SANREMO - P/ANSELM CLAVE, 4 - SENTMENAT	SENTMENAT	08181	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	MONTON SIMON, GLORIA	PIZZERIA CESPEDES	000  - PIZZERIA CESPEDES - C/SERRANO,44-46 - BARCELONA	BARCELONA	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	DA MIKELE	DA MIKELE	000  - DA MIKELE - C. BUENOS AIRES, 28 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
PIZZERIES/REST.	TRE LAGUI	TRE LAGUI	000  - TRE LAGUI - CTRA. MARTORELL, 21 - SANT ANDREU DE LA BARCA	Sant Andreu de la Barca	08740	PIZZERIA/RESTAURANTE
VARIOS	VEDOVA NERA	VEDOVA NERA	000  - VEDOVA NERA - C. CARLES RIBAS, 7 - SALOU	SALOU	43840	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA CAPPUCCINO BEACH	PIZZERIA CAPPUCCINO BEACH	000  - PIZZERIA CAPPUCCINO BEACH - LINIA DE MAR ED.BAHIA L-2 - EMPURIABRAVA	EMPURIABRAVA	17486	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA MANGIA E BEVI	PIZZERIA MANGIA E BEVI	000  - PIZZERIA MANGIA E BEVI - PLAÇA EUROPA, 5-7 - Hospitalet de Llobregat,l	HOSPITALET DE LLOBREGAT	08904	PIZZERIA/RESTAURANTE
VARIOS	PIAFOC S.L.U	PIAFOC S.L.U.	000  - PIAFOC S.L.U. - AVDA. MAS VILA 100-POL.ND.GIRONA - RIUDELLOTS DE LA SELVA	RIDUELLOTS DE LA SELVA	17457	PIZZERIA/RESTAURANTE
VARIOS	BEMBER	BEMBER	000  - BEMBER - Rambla Catalunya 70 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PIZZERIA DIVINA STEFY	PIZZERIA DIVINA STEFY	000  - PIZZERIA DIVINA STEFY - GRAN VIA CORTS CATALANES,351 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	NOTTE D'ESTATE, S.L.	PIZZERIA RAFFAELLO	000  - PIZZERIA RAFFAELLO - C/ COMTES BELL-LLOC, 188 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	JOSE LUIS ALCUBIERRE ESPADA	XARCUTERIA ARVIS	000  - XARCUTERIA ARVIS - C/ TORRENT DE L'OLLA, 90 - Barcelona	Barcelona	08006	TIENDA
VARIOS	ARANCINO, S.L.	RESTAURANT EL TARONGET	000  - RESTAURANT EL TARONGET - Passatge Lluís Pellicer, 24 local 2 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	MARÇAL GENDRA CASALÍ	PIETRA NERA	000  - PIETRA NERA - CARRETERA NOVA, 93  LOCAL - GARRIGA, LA	LA GARRIGA	08530	PIZZERIA/RESTAURANTE
VARIOS	IFOODS DIS. ALIMENTARE, S.L.	IFOODS DIST. ALIMENTARE, S.L.	000  - IFOODS DIST. ALIMENTARE, S.L. - Sant Francesc, 43 - MOLLET DEL VALLES	MOLLET DEL VALLES	08100	PIZZERIA/RESTAURANTE
VARIOS	ARMEN E HIJOS, S.L.	GIORGIO	000  - GIORGIO - AUSIAS MARCH, 3 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	PALEPOLIM S,L.,	PIZZERIA DA GENNARO	000  - PIZZERIA DA GENNARO - Plaçeta de la Sardana, 1 - CAMBRILS	CAMBRILS	43850	PIZZERIA/RESTAURANTE
VARIOS	JOAQUIM MAURI VILA	PIZZA MARC	000  - PIZZA MARC - C/ SANT ANTONI, 15 - CARDEDEU	CARDEDEU	08440	PIZZERIA/RESTAURANTE
VARIOS	BRASERIA PASSADÍS S.C.L.	BRASERIA PASSADÍS	000  - BRASERIA PASSADÍS - C/ ESTANISLAU FIGUERES, 36 - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	QUINATAPA 2011, S.C.P.	QUINATAPA	000  - QUINATAPA - C/ MARE DE DÉU DEL PILAR, 108 LOC.A - CARDEDEU	CARDEDEU	08440	PIZZERIA/RESTAURANTE
VARIOS	KIWI, S.C.P.	TOSCANA	000  - TOSCANA - C/ PROVENÇA, 93 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	AZOWOCHKA, S.L.	LA REINA DEL SUR	000  - LA REINA DEL SUR - PASSEIG MARÍTIM, 40 - SALOU	SALOU	43840	PIZZERIA/RESTAURANTE
VARIOS	CARPA, S.C.P.	LA TAVERNA DEL MAR	000  - LA TAVERNA DEL MAR - C/ TRAFALGAR, 19 - Tarragona	Tarragona	43001	PIZZERIA/RESTAURANTE
VARIOS	MARIA DEL MAR CHACON JAVIERRE	MARIA DEL MAR CHACON JAVIERRE	000  - MARIA DEL MAR CHACON JAVIERRE - Avda. Sant Salvador, 41-49  7 1 - Badalona	Badalona	08390	PARTICULARES
VARIOS	DAVIDE BULLEGAS	RISTORANTE LA COCINA DE CIOZ	000  - RISTORANTE LA COCINA DE CIOZ - AV. PAU CASALS, 133 - PINEDA, LA	LA PINEDA	43481	PIZZERIA/RESTAURANTE
VARIOS	ROBERTO FERNÁNDEZ Y OTROS, C.B.	OTSOABERRI	000  - OTSOABERRI - C/ BALENTIN DE BERRIOTXOA, 9 - BASAURI	BASAURI	48970	PIZZERIA/RESTAURANTE
VARIOS	LOUD STUDIO, S.L.	RENDEZ VOUS	000  - RENDEZ VOUS - C/ FUSINA, 6 - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
VARIOS	A. METAGLIO, S.C.P.	EL PETIT MERCAT	000  - EL PETIT MERCAT - C/ GOYA, 20 BAIXOS - Barcelona	Barcelona	08006	PIZZERIA/RESTAURANTE
